SMILES,IE
C[NH2][C@H]1CCC[C@H]1[NH3],0.232
O=C1C2=C(Cc3c(C2)[nH]c2c(c3=O)cccc2)N[C]2[C]1[CH][CH][CH][CH]2,0.24
C#C[C@H]1CC[C@H]1N1CC1,0.247
C1CCC(CC1)([NH3])[NH3],0.272
C1CCC(C1)([NH3])[NH3],0.305
C1C[C@H]([C@H](C1)[NH3])[NH3],0.315
C[C@]12C[C@@H]3[C@H]1[C@H]2[C@H]1CN31,0.317
c12c(c3c(c4c1[CH][CH][CH][CH]4)cccc3)ccc1c2cccc1,0.323
C1CC1[C@H]1[C@H]2[C@H]3N[C@H]3[C@@H]12,0.326
C[C@H]1[C@@H]2[C@H]3[C@@H]4[C@H](N13)[C@]24C,0.328
C[C@H]1C[C@H]2[C@@H]3[C@H]2N2[C@@H]3[C@@H]12,0.329
Nc1c(O[CH][NH])cn[nH]1,0.329
CN1[C@@H](C#C)C21CCC2,0.335
CC[C@]12C[C@H]3[C@@H]4[C@H]3N1[C@H]24,0.343
C1CC21[C@H]1C[C@H]3C[C@@H]2N13,0.367
C[C@]1(CC[C@H]2CN12)C#C,0.37
C[C@@]12[C@@H]3CN4[C@@H]([C@H]13)[C@@]24C,0.373
C[C@@]12[C@H]3C[C@H]3N3[C@@H]1C[C@@H]23,0.376
C[C@]12C[C@@H]3[C@H]1[C@@H]1C[C@H]2N31,0.377
C[C@@]12[C@@H]3C[C@H]4N([C@H]13)[C@@]24C,0.378
C[C@@]12C[C@H]3C[C@@H]1[C@@H]1[C@H]3N21,0.379
CC[C@]12CCN1[C@H]2C#C,0.38
C[C@H]1C[C@]2(N[C@@]12C)C#C,0.38
C[C@@]12[C@H]3[C@@H]1[C@]1(C)CN3[C@H]21,0.38
C[C@H]1[C@H]2[C@H]3[C@H]4[C@@H]1[C@@H]2CN34,0.384
C[C@]12[C@H]3[C@H](CN13)C12CC1,0.385
C[C@@]12C[C@@]3(C)[C@@H]4[C@@H]([C@H]14)N23,0.389
C[C@@]12C[C@@H]3[C@H]4[C@@H]([C@@H]3C1)N24,0.389
C1[C@@H]2N[C@]32CCCC=C13,0.389
C[C@@]12CN3[C@H]4[C@@H]3[C@]1(C)[C@@H]24,0.391
C[C@@]12[C@H]3[C@@H]1[C@@]1(C)CN2[C@@H]31,0.391
C1[C@H]2C[C@@]34CC[C@@]3(N4)[C@@H]12,0.392
CC[C@@]12[C@H]3C[C@H]4[C@@H]1N4[C@@H]23,0.395
CC[C@@]12[C@@H]3CN4[C@@H]([C@H]13)[C@@H]24,0.395
C[C@@]12C[C@H]3[C@H]4C[C@H]4N1[C@@H]23,0.398
C[C@@]12[C@H]3C[C@@H]1N3C12CC1,0.4
C[C@H]1[C@H]2[C@H]3[C@H]4[C@@H]1C[C@@H]2N34,0.4
C[C@@]12[C@H]3CC[C@@H]1[C@@H]1[C@H]3N21,0.401
C[C@@]12[C@H]3N4[C@@H]1[C@]2(C)[C@@]34C,0.405
C[C]1[C]2[CH][C]([C]([C]1C)C)CCc1cc(CC2)c(C)cc1C,0.405
C[C@]12C[C@@H]3[C@H]1N2C13CC1,0.407
C[C@@]12[C@H]3[C@@H]1[C@@]1(C)N2[C@@]31C,0.407
C1C[C@@H]2[C@H]3[C@H]4[C@@H]2[C@@H](C1)N34,0.409
C[C@@]12[C@H]3[C@H]4[C@@H]1CN4[C@@]23C,0.412
C[C@]12CN1[C@@](C)(C2)C#C,0.414
C[C@@]12[C@H]3[C@@H]1[C@@]1(C)[C@@H]2CN31,0.415
C[C]1[C]2[CH][C]([C]([C]1C)C)CCc1cc(CC2)ccc1,0.416
CN1C[C@]1(C#C)C1CC1,0.416
C[C@H]1C[C@]21[C@H]1[C@@H]3C[C@H]1N23,0.416
CC[C@@]12C[C@H]3[C@H]4[C@@H]1N4[C@@H]23,0.416
C1C[C@@]23C[C@H]4[C@@H](C2)N4[C@@H]13,0.421
C[C@H]1[C@@H](C)[C@]2(CN12)C#C,0.422
CC1(C)N2C[C@@]1(C2)C#C,0.422
C1CC1[C@H]1[C@H]2[C@@H]3C[C@H]2N13,0.422
C1N2C[C]3[CH]CCC[C@]123,0.423
C[C@]12[C@@H]3[C@H]1[C@@]1(C)[C@@H]3CN21,0.424
C[C@@]12[C@H]3[C@H]4[C@@H]1C[C@@H]2CN34,0.425
Nc1c(NC=O)nc[nH]1,0.425
CC[C@H]1[C@H]2CN1[C@H]2C#C,0.426
C1C[C@@]23C[C@H]4C[C@@H]([C@H]12)N34,0.426
C[C@@]12C[C@H]3[C@@H]1C1(CC1)N23,0.426
C1CCc2c[nH]cc2C1,0.431
C[C@]12[C@@H]3[C@H]1N1[C@@H]3CC[C@@H]21,0.432
C1[C@H]2N1C[C@]12CCC=C1,0.435
C[C@@]12CN3[C@H]4[C@@H](C1)[C@H]4[C@@H]23,0.436
C[C@H]1[C@H]2[C@@H]3CN4[C@@H]3[C@@H]1[C@@H]24,0.436
C1C[C@@]23C[C@H]4CN([C@H]12)[C@@H]34,0.438
C1CC1[C@@]12C[C@H]3[C@@H](C1)N23,0.438
CC[C@@]12CN3[C@@H]4[C@@H]([C@H]14)[C@@H]23,0.439
C[C@H]1C[C@@H]2[C@H]3[C@@H]4C[C@]13N24,0.441
CC1(C)[C@H]2[C@@H]3[C@H]2[C@H]2[C@@H]3N12,0.442
CN1[C@H]2[C@@H]3[C@H]4CC[C@@]13[C@@H]24,0.446
C1C[C@@]23CN4C[C@@]12C[C@@H]34,0.448
C1C[C@@]23C[C@H]4C[C@@]12CN34,0.45
C[C@@]12[C@H]3[C@@H]1[C@]1(C)C[C@H]3N21,0.45
CC[C@@]12[C@H]3C[C@@H]1[C@@H]1[C@H]3N21,0.455
C1[C@H]2C[C@]3(CN4C[C@@H]34)[C@@H]12,0.456
C[C@H]1[C@H]2[C@H]3[C@@H]1N2C13CC1,0.457
C[C@@]12[C@H]3C[C@@H]1N1C[C@H]3[C@H]21,0.458
C1CC1[C@H]1[C@H]2C[C@@H]3[C@H]2N13,0.459
C[C@H]1N2[C@@H](C)C[C@@]12C#C,0.459
C#CCN1[C@H]2CCC[C@@H]12,0.463
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cc(CC2)c(C)cc1C,0.465
C1CC2(C1)[C@H]1C[C@@H]3[C@H]1N23,0.466
C1CCc2cccn2C1,0.467
C[C@@]12CN3[C@@H]1C1(CC1)[C@@H]23,0.469
C1[C@H]2[C@@H]3[C@@H]4CCC[C@]24N13,0.471
C[C@@]12[C@@H]3C[C@H]4[C@@H](C[C@H]13)N24,0.472
C[C@H]1CN2[C@@H](C#C)[C@@]12C,0.473
C[C@@]12C[C@H]3[C@H]4C[C@@H]1[C@@H]2N34,0.475
C1[C@H]2[C@H]3[C@H]4[C@@H]1[C@@H]2CCN34,0.479
C[C@H]1CN2[C@H]3[C@@H]4[C@@H]([C@H]14)[C@@H]23,0.48
CC1(C)Cn2cccc12,0.481
C[C@@]12C[C@H]3CN4[C@@H]([C@H]14)[C@@H]23,0.481
Cc1cccn1C1CC1,0.482
C[C@H]1C[C@H]2[C@@H]3[C@H]2[C@H]2[C@@H]3N12,0.486
C[C@]12C[C@H]3[C@@H]4[C@H]([C@@H]13)N4C2,0.486
C1CC1[C@@]12C[C@H]3C[C@@H]1N23,0.487
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cc(CC2)ccc1,0.487
C1[C@H]2[C@H]3C[C@@H]4[C@H]3C[C@@H]4N12,0.488
Nc1c(NC=O)cn[nH]1,0.489
C[C@H]1CCc2c[nH]cc12,0.489
C[C@H]1C[C@]2(CC[C@@H]12)C#N,0.489
C[C@@]12[C@H]3[C@H]4CC[C@@H]1[C@H]4N23,0.492
C1CC2(C1)[C@H]1[C@@H]3CN1[C@H]23,0.493
C[C@H]1CC[C@]2(CN12)C#C,0.497
NC(=O)Oc1cocc1,0.498
[C@@H]12[C@H]3[C@@H]4[C@H]5[C@H]([C@@H]1C[C@@H](C3)C5)C[C@H](C2)C4,0.505
Nc1nn2CCOc2n1,0.507
C[C@H]1[C@H]2[C@H]3C[C@@H]4[C@H]([C@@H]23)N14,0.511
C[C@H]1[C@H]2C[C@@](C)(C#N)[C@@H]12,0.511
C[C@]12C[C@@H]3C[C@@H]4[C@H]1N2[C@H]34,0.514
C1C[C@@]23[C@@H]1[C@H]1[C@@H]2CCN31,0.515
CC[C@H]1[C@H]2C[C@@]1(C2)C#N,0.517
C[C@H]1CC[C@]21C[C@H]2C#N,0.517
C[C@H]1[C@@H]2[C@H]3[C@@H]2N2C[C@@H]1[C@@H]32,0.522
C[C@@]12C[C@H]3[C@H]4C[C@@H]1N4[C@@H]23,0.522
N=C1O[C@@H]2[C@@H]3O[C@H]1O[C@H]23,0.525
C[C@H]1[C@H]2[C@@H]3[C@H]4C[C@H]4N2[C@H]13,0.525
N[C]1N=C([N]N1)[C@H]1CO1,0.527
C1CC1N1[C@H]2[C@H]3C[C@H]3[C@@H]12,0.527
C1CC(C1)n1cccc1,0.528
CC1=CC=C2[CH][C]1CCc1cc(CC2)ccc1C,0.531
N#C[C@H]1[C@H]2C[C@@H]1CCC2,0.537
c12c3c(oc1C(=O)c1c(C2=O)cccc1)ccc1c3C=C[CH][CH]1,0.539
C[C@H]1CC[C@H]2C[C@@]12C#N,0.54
Cc1cc(N)cc(C)c1,0.541
C[C@@]12C=C[C@H]3CC[C@@H]1N23,0.542
C#CC[C@]12CCC[C@H]1N2,0.542
C[C@H]1C[C@@H]2C[C@H]1[C@H]2C#N,0.544
C[C@H]1[C@H]2C[C@]1(C#N)[C@H]2C,0.544
CN1[C@H]2C=CC3(CC3)[C@@H]12,0.544
C#CC[C@H]1NC21CCC2,0.545
N=c1[nH]nc2OCCn12,0.546
N#C[C@H]1CC21CCCC2,0.549
C1COC2=N[N]N[C]2N1,0.554
C[C@H]1[C@@H](CC21CC2)C#N,0.563
Nc1ncc(NC=N)o1,0.568
C[C@H]1C[C@H]2[C@@H]1[C@]2(C)C#N,0.576
NC(=O)n1cc[nH]c1=N,0.576
N#C[C@@]12C[C@@H](C1)CCC2,0.577
C1COc2c(N1)nn[nH]2,0.578
C[C@@]1(CC#N)[C@H]2C[C@@H]1C2,0.58
NC1=CC(=[N]=C(O)N1)[NH],0.582
CC[C@]12C[C@H]1[C@@H](C2)C#N,0.585
C[C@H]1C[C@@]2(CC#C)N[C@@H]12,0.586
O=c1occ2OCCn12,0.59
N#CC[C@H]1CCC21CC2,0.597
CCC1=CCC[C@H]1C#N,0.597
CC(=N)O[C]1=NN[CH]N=1,0.6
C[NH2][C]1[CH]N(C)CC[NH]1C.CNC.[H].[H],0.606
C[C@H]1C=CC[C@]1(C)C#N,0.609
N#C[C@H]1CC[C@H]2CC[C@@H]12,0.609
N#C[C@]12C[C@H]1CCCC2,0.61
C[C@@H](C#N)[C@H]1CC=CC1,0.612
C[C@@H](C#N)[C@H]1CCC=C1,0.612
Nc1c([nH]nc1)O[CH][NH],0.618
CC1=C[C@H]2C[C@@H]3N2[C@]13C,0.62
CC#C[C@H]1C[C@@]2(C)N[C@@H]12,0.621
C[C@H]1CC[C@]2(N[C@@H]12)C#C,0.622
OC1=N[C](N[CH]1)NC=N,0.625
C[C@@]1(CC#N)C[C@H]2C[C@@H]12,0.625
C(C1CC1)c1ccc[nH]1,0.631
Cc1c[nH]c(c1)C1CC1,0.632
NC(=O)Cc1n[nH]cn1,0.637
CN1[C@H]2C=C[C@@H]1C12CC1,0.638
N#CCC[C@]12C[C@H]1CC2,0.639
C[C@H]1C[C@H]1c1c[nH]cc1,0.639
C[C@@]12C[C@@H](C1)C[C@H]2C#N,0.641
C[C@H]1[C@H]2CC[C@@H](C#C)N12,0.642
N#CC[C@H]1[C@H]2C[C@@H]1CC2,0.643
N#CC[C@H]1CCC=CC1,0.644
CCC1=C[C@@H](CC1)C#N,0.649
c12c(C(=O)c3c(C2=O)cccc3)oc2c1ccc1c2C=C[CH][CH]1,0.65
C[C@@]1(CC#N)[C@H]2CC[C@@H]12,0.654
C[C@H]1[C@H]2N[C@H]2[C@]1(C)C#C,0.655
CC[C@@]12C=C[C@H]3C[C@@H]1N23,0.665
C[C@H]1C[C@H]2C[C@@]12CC#N,0.668
Oc1cc(=O)cc(O)[nH]1,0.672
C[C@@H](CCC#N)CC#C,0.675
C[C@H]1CC2(CC2)[C@H]1C#N,0.681
CC[C@]12C[C@@H](C#C)[C@H]1N2,0.681
C[C@H]1[C@H]2C[C@@]2(C)[C@H]1C#N,0.684
C[C@H]1C[C@]2(CN2)[C@H]1C#C,0.687
C[C@H]1C[C@@H](C#C)[C@H]2N[C@@H]12,0.688
C[C]1[CH][C@H]2[C@H]3C[C@]1(C)N23,0.689
OC1=C[C]2[C](N1)OCO2,0.691
OC1=N[N]N[C]1N1CC1,0.692
C[C@H]1[C@@H](CC=C1C)C#N,0.696
CC1=C[C@@]2(C)CN3[C@@H]1[C@@H]23,0.697
Oc1nccc(O)c1O,0.698
Nc1c(NC=O)[nH]cn1,0.699
CC1(C)CC=C[C@H]1C#N,0.703
C[C@H]1C[C@H]2C[C@@H](C#N)[C@@H]12,0.717
CN1[C@H]2[C@H]3C=C[C@@H]1[C@@]23C,0.72
N#C[C@H]1C[C@@H](C1)C1CC1,0.732
O=c1[nH]nc2NCCn12,0.735
C[C@@]12CC=C[C@H]3[C@@H]1CN23,0.736
CC[C@@H](CC#CC)C#N,0.737
C1N[C@]21C[C@H]1CC[C]1[CH]2,0.742
O[C]1=NN2CCN[C]2N=1,0.743
C#C[C@H]1NC21CCCC2,0.749
O=C1N[C]2[C](CCO2)O1,0.752
Nc1cnc([nH]1)O[CH][NH],0.769
[C@]123[C@@H]4[C@@H]1[C@H]3CCC[C@H]24,0.771
C[C@]12C[C@H]1[C@H]1N[C@H]1C=C2,0.774
Nc1c2OCCn2nn1,0.777
NC(=O)Nc1c[nH]cn1,0.78
C[C@H]1[C@H]2[C@@H]3C=C(C)[C@H]2N13,0.791
C[C@H]1C[C@H]2[C@H]3N[C@H]3[CH][C]12,0.794
CC1=CCC=C[C@H]2N[C@@H]12,0.794
NC1=CC(=[N]=C(N)O1)[NH],0.794
Nc1cnc(NC=N)o1,0.798
Nc1c[nH]c(O[CH][NH])n1,0.805
Cc1c(NC=O)nn[nH]1,0.811
Nc1c(NC=N)ocn1,0.824
NC(=O)Nc1ncc[nH]1,0.827
NC(=O)Nc1c[nH]nc1,0.835
N#CCC1=CCCCC1,0.836
NC1=[N]=C([N]O1)N1CC1,0.837
Nc1n[nH]c(O[CH][NH])c1,0.852
c12c(C(=O)c3c(C1=O)cc1c(c3)cccc1)cc1c(c2)[CH][CH]C=C1,0.903
CN1[C@H]2[C@@H]3C=C[C@@]2(C)[C@H]13,0.914
O=C1OC[C@@H](CC#N)O1,0.925
Nc1cc(=N)[nH]c(O)n1,0.927
C[C@H]1CC[C@@H]([CH][CH]1)C#N,0.936
NC1=C(O)C(=N[CH]N1)[NH],0.971
NC(=O)Nc1ccn[nH]1,0.976
Oc1n[nH]cc1NC=N,0.985
OC1=[N]=C([N]N1)N1CC1,0.993
C[C]1N=C(NC=O)[N]N1,1.009
Nc1c(O)c(=N)[nH]cn1,1.012
NC(=O)c1c[nH]c(N)n1,1.024
N=CNC(=O)NCC#N,1.051
NC(=O)Cc1cnn[nH]1,1.055
C/N=C/O[C]1=NN[CH]N=1,1.067
Oc1c[nH]cc(O)c1=O,1.091
Nc1cc(=O)cc(O)o1,1.092
O[C@]12[C@H]3O[C@H]3[C@H]1NC2=O,1.106
Oc1nc2c(OCC2)o1,1.108
Oc1c2OCOc2c[nH]1,1.109
Nc1coc(NC=N)n1,1.115
Nc1c2[C@@H](O)Cn2nn1,1.132
N[C]1NC(=CC(=O)N1)[NH],1.132
Nc1c(NC=N)onc1,1.171
O[C]1[C]2CCN2C(=O)O1,1.177
CN1[CH]N=C(NC=O)[N]1,1.189
NC(=O)c1c(N)nc[nH]1,1.211
[NH]C(=[NH2])[C@@H](NC=O)C#N,1.229
N[C]1N[C](C=O)C(=N)N1,1.23
O[C@H]1CC(=O)O[C@H]1C#N,1.232
O[C@H]1[C@H]2O[C@H]2[C@]1(O)C#N,1.236
CCc1ncccc1C,1.252
N[C@]12[C@H]3O[C@H]3[C@H]1OC2=O,1.26
Oc1c(NC=N)cn[nH]1,1.261
C/[C]=[C]/[C@@]12C[C@@H](C1)N2C,1.264
c12c(c(=O)c3c([nH]2)cccc3)N[C@H]2[C@H](C1=O)[CH][CH]C=C2,1.273
Oc1ccc([nH]1)OC=O,1.285
Cn1nncc1NC=O,1.294
C[C]1N=[C](=O)N=C(N)N1,1.295
C/[C]=[C]/[C@]12N[C@H]1C[C@H]2C,1.297
NC1=NN[CH]C(=C1[NH])O,1.305
C1COC2=[N]=CO[C]2O1,1.311
C[C]1N=[C](=NN1)O[CH][NH],1.312
CCc1cccc(C)n1,1.328
Nc1conc1NC=N,1.33
O[C@]12CN3[C@H]1[C@@]2(O)C3=O,1.332
CC[C@@H](CCC#N)[C]=[CH],1.339
CCc1ncc(C)cc1,1.357
[NH2]=C([NH])n1cncc1O,1.365
CN1[CH]N=[C](=N1)O[CH][NH],1.367
Oc1cncc(O)c1O,1.376
CN[C]1N=[C](=O)N=CN1,1.381
CN1C=C[C]([C]2C=CN(C)C=C2N)C(=C1)N,1.384
CC(=O)N1N=CN[C@@H]1[NH],1.388
Nc1c[nH]c(N[CH][O])n1,1.389
NC(=O)n1nccc1N,1.39
CC(C)[C@@H](CC#N)[C]=[CH],1.391
NC(=O)[C@H]1N=CNC1=N,1.391
Nc1ncc(O)c(N)n1,1.401
OC1=CN=C(O)[CH][C]1O,1.402
C[C@@]12CN3C[C]([CH]C1)[C@@H]23,1.402
Nc1cc(OC=O)co1,1.404
C1OC[C]2C(=N[CH]O2)O1,1.407
NC1=C([N]N[N]1)[C@H]1CO1,1.41
C[C@H]1CCN2[C@@H]([C]=[CH])[C@@H]12,1.412
C[C@H]1[C@@H]([C]=[CH])N1C1CC1,1.414
NC(=O)c1n[nH]c(N)c1,1.414
O=C1O[C@@]2([CH][CH]1)C=CC(=O)C=C2,1.421
CCc1cn(C)cc/c/1=c\1/ccn(C)cc1NC,1.421
CNC1=CN(C)C=C[C]1[C]1C=CN(C)C=C1N,1.429
OC1=CN=C(O)[C](O)[CH]1,1.43
C12=C3C=C[CH]C=C1C=C[C]2C=C[CH][CH]3,1.444
CC[C@@H](C)/[C]=[C]/CC#N,1.446
CC1=[N]=C(OC=O)[CH]O1,1.447
OC1=N[N]N[C]1[C@H]1CN1,1.471
CNc1c/c(=c/2\ccn(C)c(c2)NC)/ccn1C,1.477
C[C]1[C]2OCOC2=NO1,1.48
CC/[C]=[C]/C(C)(C)C#N,1.485
O=C1O[CH][C](O1)[C@H]1CN1,1.486
O[C@@]12[C@H]3O[C@@H]1[C@H]3O[C]2[NH],1.488
O[C@]12[C@H]3O[C@H]3[C@H]1O[C]2[NH],1.49
CNc1c/c(=c/2\ccn(C)c(c2)OCCOC)/ccn1C,1.5
CNc1cn(C)cc/c/1=c\1/ccn(C)cc1OC,1.503
NC(=O)n1ccc(N)n1,1.503
NC(=O)n1ccnc1N,1.509
C[C@H]1[C@H]2N[C@@]2([C]=[CH])[C@H]1C,1.509
NC(=O)CN1[CH]C=N[N]1,1.516
Cn1cc/c(=c/2\ccn(C)c(c2)OCCOCCOCCOC)/cc1OCCOC,1.516
C1CNc2nonc2N1,1.521
CNC1=CN(C)C=C[C]1[C]1C=CN(C)C=C1NC,1.522
N=C1O[C@H]2CC(=O)O[C@@H]12,1.522
C([C@H]1CO1)n1cnnn1,1.523
Cc1n[nH]nc1NC=O,1.523
C1OCc2nocc2O1,1.527
Cn1cc/c(=c\2/ccn(C)cc2OC)/c(c1)N,1.529
CC(C)(C)[C]1[CH]N(C)C=C/C/1=c\1/ccn(C)cc1NC,1.529
Cn1cc/c(=c\2/ccn(C)c(c2)OCCOC)/cc1N,1.53
CNc1cn(C)cc/c/1=c\1/ccn(C)c(c1)NC,1.533
O=CNCc1n[nH]nc1,1.536
C/C(=N/C1=CN(C)C=C[C]1[C]1C=CN(C)C=C1N)/O,1.536
Cn1cc/c(=c\2/ccn(C)c(c2)OCCOCCOCCOC)/cc1OCCOCCOC,1.537
Oc1cc(O)c([nH]1)C=O,1.542
C/C(=N/c1c/c(=c/2\ccn(C)c(c2)OCCOCCOC)/ccn1C)/O,1.549
C1OC[C]2[C](O1)C=NO2,1.559
O=COCc1nocc1,1.56
NC(=O)n1cncc1N,1.562
CNc1c/c(=c\2/ccn(C)c(c2)OCCOCCOCCOC)/ccn1C,1.564
CNc1cc(=c2ccn(C)cc2)cc(NC)n1C,1.568
CN(C)C1=CN(C)C=C[C]1[C]1C=CN(C)C=C1N(C)C,1.568
Cn1ccc(=c2cc(n(C)c(c2)OC)OC)cc1,1.571
CNc1cc(=c2ccn(C)cc2)cc(n1C)OCCOCCOCCOC,1.572
CCc1cn(C)cc/c/1=c\1/ccn(C)cc1OC,1.572
CNC1=CN(C)C=C[C]1[C]1C=CN(C)C=C1N(C)C,1.573
CNc1c/c(=c/2\ccn(C)c(c2)OCCOCCOCCOC)/ccn1C,1.573
Cn1ccc(=c2cc(N)n(C)c(c2)N)cc1,1.576
C/C(=N/c1cn(C)cc/c/1=c\1/ccn(C)cc1OC)/O,1.582
N/C=N/c1ncc(N)o1,1.583
CCC1=CN(C)C=C[C]1[C]1C=CN(C)C=C1NC,1.583
C/C(=N/c1cc(=c2ccn(C)cc2)c(cn1C)C(C)(C)C)/O,1.586
Cc1c/c(=c/2\ccn(C)c(c2)NC)/ccn1C,1.588
C/C(=N/C1=C([C](C=CN1C)[C]1C=CN(C)C=C1)N)/O,1.588
Cn1ccc(=c2cc(N)n(C)c(c2)OCCOC)cc1,1.589
C/C(=N/c1cn(C)c(cc1=c1ccn(C)cc1)NC)/O,1.593
C[C@H]1C[CH][C]2CN3[C@@H]1[C@@H]23,1.595
Cc1c(N[CH][O])[nH]nn1,1.596
CCc1cn(C)cc(c1=c1ccn(C)cc1)N,1.596
NC(=O)N(CC#N)C=N,1.597
Cc1cn(C)cc(C)c1=c1ccn(C)cc1,1.597
CCc1cn(C)c(cc1=c1ccn(C)cc1)NC,1.598
CNCn1ccc(=c2ccn(C)cc2)cc1OCCOCCOCCOC,1.598
Cn1cc/c(=c\2/ccn(C)c(c2)OCCOCCOC)/c(c1)N,1.6
Cc1cn(C)cc/c/1=c\1/ccn(C)c(c1)NC,1.601
CC(C)(C)[C]1[CH]N(C)C=C/C/1=c\1/ccn(C)cc1OC,1.603
C/C(=N/C1=C[C](C=CN1C)[C]1C=CN(C)C=C1N)/O,1.604
CN1C=C[C]([C]2C=CN(C)C(=C2)OCCOCCOCCOC)C(=C1)OCCOCCOC,1.605
Cn1cc/c(=c\2/ccn(C)cc2O)/c(c1)O,1.606
Cc1c/c(=c/2\ccn(C)c(c2)OC)/ccn1C,1.607
CN(C)c1cn(C)cc/c/1=c/1\ccn(C)c(c1)OCCOC,1.607
Cn1ccc(=c2c(cn(C)cc2OC)N)cc1,1.607
